USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Anarchy Bats,AS19AF3,Flip,6/24/2019
,Anarchy Bats,AS19ANN-1,Naughty or Nice,12/20/2019
,Anarchy Bats,AS19BA1,Blessed,6/24/2019
,Anarchy Bats,AS19BCA2,Flip,6/24/2019
,Anarchy Bats,AS19LSA,Scheels Lazer,4/9/2019
,Anarchy Bats,AS19MCQA2,Leprechaun,6/24/2019
,Anarchy Bats,AS19VIPA,Viper,4/9/2019
,Anarchy Bats,AS19WARA2,Warlock,6/24/2019
,Anarchy Bats,AS20AACE1-2,Alliance,9/14/2020
,Anarchy Bats,AS20AAM-2,Amped,12/13/2019
,Anarchy Bats,AS20AAS-2,Ares,12/13/2019
,Anarchy Bats,AS20AFB02,All the Smoke,9/3/2020
,Anarchy Bats,AS20AHB-2,Humble,3/4/2020
,Anarchy Bats,AS20ALU-2,Pitbull,3/4/2020
,Anarchy Bats,AS20AOHA2,Ohana,9/3/2020
,Anarchy Bats,AS20AON-2,Odin,3/4/2020
,Anarchy Bats,AS20AVCM1A,Diabolical,11/5/2020
,Anarchy Bats,AS20AVCM1B,Diabolical,11/5/2020
,Anarchy Bats,AS20AVCM2A,Diabolical,11/5/2020
,Anarchy Bats,AS20AVCM2B,Diabolical,11/5/2020
,Anarchy Bats,AS20AZS-2,Zeus,12/13/2019
,Anarchy Bats,AS22LC-2,Code Red,3/4/2022
,Anarchy Bats,ASP1VIB26A,VIBRANIUM 1 PC,5/6/2026
,Anarchy Bats,ASP24TTA,22 A Day,1/2/2024
,Anarchy Bats,ASP2VIB26A,VIBRANIUM 2 PC,5/6/2026
,Anarchy Bats,ASP33A,33 Forever,1/2/2024
,Anarchy Bats,ASPAA24A,Autism Awareness,4/8/2024
,Anarchy Bats,ASPALEG2SA,AMERICAN LEGION,7/30/2025
,Anarchy Bats,ASPALL25A,ALL ALOHA,7/30/2025
,Anarchy Bats,ASPASN26A,ASANA,5/6/2026
,Anarchy Bats,ASPASN2SA,ASANA (A3),7/30/2025
,Anarchy Bats,ASPATM24A,Atomic,1/2/2024
,Anarchy Bats,ASPAUR24A,Aurora,4/8/2024
,Anarchy Bats,ASPAUT25A,AUTISM,2/18/2025
,Anarchy Bats,ASPAWK24A,Awakening,1/2/2024
,Anarchy Bats,ASPAWK25A,AWAKENING 2025,7/30/2025
,Anarchy Bats,ASPBAZ26A,BAZOOKA,1/27/2026
,Anarchy Bats,ASPBCS24A,BAZOOKA,10/22/2024
,Anarchy Bats,ASPBCS24AP,BAZOOKA PINK,2/19/2025
,Anarchy Bats,ASPBKD24A,BAKED,7/27/2024
,Anarchy Bats,ASPBLDAW2SA,DAWE BLACKOUT,7/30/2025
,Anarchy Bats,ASPBM24A,Blood Money,4/8/2024
,Anarchy Bats,ASPBOB25A,DOODLEBOB,2/18/2025
,Anarchy Bats,ASPBON25A,Battle of the nations (a3),7/30/2025
,Anarchy Bats,ASPBUB25A,BUBBLE BUBBLE (BALANCED),2/18/2025
,Anarchy Bats,ASPCBCAP26A,EL CAPITAN,1/27/2026
,Anarchy Bats,ASPCC25A,CANDY CORN,1/27/2026
,Anarchy Bats,ASPCD24A,CARPE DIEM,7/27/2024
,Anarchy Bats,ASPCER2SA,CERERBRUS,2/18/2025
,Anarchy Bats,ASPCHOMP25A,CHOMPER,7/30/2025
,Anarchy Bats,ASPCODB25A,CODE BLACK,1/27/2026
,Anarchy Bats,ASPCODW2SA,CODE WHITE,1/27/2026
,Anarchy Bats,ASPCOG2SA,CODE GREEN,1/27/2026
,Anarchy Bats,ASPCOR25A,CODE RED,1/27/2026
,Anarchy Bats,ASPCUP25A,PB CUP,1/27/2026
,Anarchy Bats,ASPDAW25A,Shock and Dawe,3/24/2025
,Anarchy Bats,ASPDDCCA,Double Dip Cookies & Cream,4/8/2024
,Anarchy Bats,ASPDDCDA,Double Dip Cookie Dough,1/2/2024
,Anarchy Bats,ASPDDMA,Double Mint Dip,1/2/2024
,Anarchy Bats,ASPDDSBA,Double Dip Strawberry,4/8/2024
,Anarchy Bats,ASPDMN24A,Demon,1/2/2024
,Anarchy Bats,ASPDMN24A,DEMON,10/22/2024
,Anarchy Bats,ASPDMN25A,DEMON,4/4/2025
,Anarchy Bats,ASPDMNBL25A,DEMON BLACK,4/4/2025
,Anarchy Bats,ASPDMNF24A,Demon Fire,4/8/2024
,Anarchy Bats,ASPDMNLCB24A,DEMON BLACK,7/27/2024
,Anarchy Bats,ASPDMNPU24A,DEMON,7/27/2024
,Anarchy Bats,ASPDONT26A,DON探 BLINK,5/6/2026
,Anarchy Bats,ASPECM24A,Every Child Matters,9/6/2024
,Anarchy Bats,ASPECM25A-1,ECM 2025,4/4/2025
,Anarchy Bats,ASPEVL26A,EVIL WOLFPACK,5/6/2026
,Anarchy Bats,ASPEVL26AH,EVIL WOLFPACK (HEAVY),5/6/2026
,Anarchy Bats,ASPEXC24A,Excecutioner,12/18/2024
,Anarchy Bats,ASPFB26A,FIREBALL,5/6/2026
,Anarchy Bats,ASPFEN25A,Fenrir,4/16/2025
