USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,DeMarini,SPF-20,Sprite (-11),3/18/2019
,DeMarini,SPF-21,Sprite (-11),3/31/2021
,DeMarini,SPF-21,Sprite (-12),11/5/2021
,DeMarini,SPF-22,Sprite (-12),11/5/2021
,DeMarini,SPF-25,Spryte (-12),2/2/2024
,DeMarini,SPF-27,Spryte (-12),12/3/2025
,DeMarini,STL-16,Steel,10/7/2015
,DeMarini,STL-18,Steel,12/4/2017
,DeMarini,STL-20,Steel SP,2/4/2020
,DeMarini,STL-22,Steel SP,4/8/2022
,DeMarini,STL-25,Steel,2/2/2024
,DeMarini,STL-27,Steel,12/3/2025
,DeMarini,Tempest,DXTFP,8/20/2008
,DeMarini,TFP9,Tempest (-9),3/16/2011
,DeMarini,The One,,2/9/2009
,DeMarini,UCE-16,Deuce,10/26/2017
,DeMarini,UCE-17,Duece,12/4/2017
,DeMarini,UPF-17,Uprising (-12),2/12/2018
,DeMarini,UPF-19,Uprising (-12),12/13/2017
,DeMarini,UPF-21,Uprising (-12),11/5/2021
,DeMarini,UPF-22,Uprising (-12),11/5/2021
,DeMarini,UPF-25,Uprising (-12),2/2/2024
,DeMarini,UPF-27,Uprising (-12),12/3/2025
,DeMarini,UPS-16,Uprising,2/12/2018
,DeMarini,UPS-18,Uprising,2/12/2018
,DeMarini,UPS-25,Uprising,2/2/2024
,DeMarini,UPS-27,Uprising,12/3/2025
,DeMarini,USP-20,Uprising,11/5/2021
,DeMarini,USP-22,Uprising,11/5/2021
,DeMarini,UWE-14,Ultimate Weapon,3/14/2014
,DeMarini,UWE-15,Ultimate Weapon,1/21/2015
,DeMarini,UWE-16,Ultimate Weapon,10/7/2015
,DeMarini,UWE-17,Ultimate Weapon,12/4/2017
,DeMarini,UWE-18,Ultimate Weapon,12/4/2017
,DeMarini,UWE-20,Ultimate Weapon,2/4/2020
,DeMarini,UWE-22,Ultimate Weapon,4/8/2022
,DeMarini,UWE-25,Ultimate Weapon,2/2/2024
,DeMarini,UWE-27,Ultimate Weapon,12/3/2025
,DeMarini,VB8-27,Vizion (-8),11/11/2025
,DeMarini,VB8-27 CSTM,Vizion (-8) Custom,11/11/2025
,DeMarini,VBF-27,Vizion (-9),11/11/2025
,DeMarini,VBF-27 CSTM,Vizion (-9) Custom,11/11/2025
,DeMarini,VBP-27,Vizion (-10),11/11/2025
,DeMarini,VBP-27 CSTM,Vizion (-10) Custom,11/11/2025
,DeMarini,VBPS-27,Vizion (-10),11/11/2025
,DeMarini,VBPS-27 CSTM,Vizion (-10) Custom,11/11/2025
,DeMarini,VCF-17,Vendetta (-12),2/12/2018
,DeMarini,VCF-19,Vendetta (-12),12/13/2017
,DeMarini,VCF15,Vendetta (-12),3/4/2014
,DeMarini,VCP-17,Vendetta (-10),2/12/2018
,DeMarini,VCP15,Vendetta (-10),3/4/2014
,DeMarini,Vendetta,C6 Fastpitch (-12),8/20/2008
,DeMarini,Voodoo,Black Fastpitch Bat (-10),5/20/2008
,DeMarini,VTF,Vendetta (-11),7/12/2010
,DeMarini,VZA-17,Vizion,12/1/2017
,DeMarini,VZA-18,Vizion,12/4/2017
,DeMarini,WCS-22,Windy City,2/2/2024
,DeMarini,WCS-25,Windy City,2/2/2024
,DeMarini,WHI-14,Steel,3/14/2014
,DeMarini,WHI12,Steel,5/4/2011
,DeMarini,WHI13,Steel,12/3/2012
,DeMarini,WS8-23,Whisper (-8),4/15/2022
,DeMarini,WS8-23 CSTM,Whisper -8 custom,2/20/2023
,DeMarini,WS8-25,Whisper (-8),2/2/2024
,DeMarini,WS8-PR,Whisper Pride -8,2/20/2023
,DeMarini,WSF-23,Whisper (-9),4/15/2022
,DeMarini,WSF-23 CSTM,Whistper (-9) Custom,8/17/2022
,DeMarini,WSF-23H,Whisper Hope (-9),2/2/2024
,DeMarini,WSF-25,Whisper (-9),2/2/2024
,DeMarini,WSF-25 CSTM,Whisper (-9) Custom,2/2/2024
,DeMarini,WSF-PR,Whisper Pride -9,2/20/2023
,DeMarini,WSP-23,Whisper (-10),1/28/2022
,DeMarini,WSP-23 CSTM,Whisper (-10) Custom,8/17/2022
,DeMarini,WSP-23H,Whisper Hope (-10),2/2/2024
,DeMarini,WSP-25,Whisper (-10),2/2/2024
,DeMarini,WSP-25 CSTM,Whisper (-10) Custom,2/2/2024
,DeMarini,WSP-PR,Whisper -10,2/20/2023
,DeMarini,WSPS-23,Whisper (-10),4/15/2022
,DeMarini,WSPS-23 CSTM,Whisper (-10) Custom,8/17/2022
,DeMarini,WSPS-23H,Whisper Hope (-10),2/2/2024
,DeMarini,WSPS-25,Whisper (-10),2/2/2024
,DeMarini,WSPS-25 CSTM,Whisper (-10) Custom,2/2/2024
,DeMarini,WSPS-PR,Whisper Pride -10,2/20/2023
,DeMarini,WTDXONE12,The One Sunday Swagger,3/14/2011
,DeMarini,YET-15,Yeti SP,5/24/2015
,Dirty South Bats,FSDNGR-1,DNGR,10/2/2018
,Dirty South Bats,FSKA-1,Kamo,7/24/2018
,Dirty South Bats,FSMI08,Midnight,10/19/2017
,Dirty South Bats,FSSW08,Lady Swag,8/10/2017
,Dudley,DDASPB,Demolition,5/8/2017
,Dudley,DDASPE,Demolition,5/5/2017
,Dudley,DDFP10,Doom FP -10,6/8/2022
,Dudley,DDFP11,Doom FP -11,6/8/2022
,Dudley,DDFP13,Doom,1/18/2022
,Dudley,DDFP9,Doom FP -9,6/24/2023
,Dudley,DMPMA,Team Mastery,6/28/2019
,Dudley,FPD10,MRBL,8/16/2024
,Dudley,FPD11,MRBL,8/16/2024
,Dudley,FPD9,MRBL,8/16/2024
,Dudley,LLFP13,Lightning Lite,8/9/2018
,Dudley,LLFP132,Lightning Lift,8/9/2018
,Easton,CR13L1,Combat Revolt,4/26/2022
,Easton,CR13X,Combat Revolt 13 2PC,7/1/2022
,Easton,CR14B,Combat Revolt 14 2PC,7/1/2022
,Easton,CR14L1,Combat Revolt 14 1PC,7/1/2022
,Easton,EFP3GHB10,Ghost Ice -10,10/23/2023
,Easton,EFP4FF12,Firefly -12,10/23/2023
,Easton,EFP4GHAD10,Ghost Advanced -10,6/24/2023
,Easton,EFP4GHAD11,Ghost Advanced -11,10/24/2023
,Easton,EFP4GHAD8,Ghost Advanced -8,6/24/2023
,Easton,EFP4GHAD9,GhostnAdvanced -9,6/24/2023
,Easton,EFP4GHAM10,Ghost Adv Dusk,7/18/2024
,Easton,EFP4GHAP10,Ghost Adv Dawn,7/18/2024
,Easton,EFP4GHY11,Ghost Youth -11,10/23/2023
,Easton,EFP5AMY11,Amethyst -11,7/18/2024
,Easton,EFP5CRY13,Chrystal 13,7/18/2024
,Easton,EFP5GHOG10,Ghost OG -10,7/19/2025
,Easton,EFP5GHOG11,Ghost OG -11,7/19/2025
,Easton,EFP5GHOG8,Ghost OG -8,7/19/2025
,Easton,EFP5GHOG9,Ghost OG -9,7/19/2025
,Easton,EFP5GHRP10,GHOST OG Rocket Pop,7/19/2025
,Easton,EFP5GHRP11,GHOST OG Rocket Pop -11,7/21/2025
,Easton,EFP5GHRP8-33,GHOST OG Rocket Pop -8,7/17/2025
,Easton,EFP5GHRP8-34,GHOST OG Rocket Pop -8,7/17/2025
,Easton,EFP5GHRP9-33,GHOST OG Rocket Pop -9,7/17/2025
,Easton,EFP5GHRP9-34,GHOST OG Rocket Pop -9,7/17/2025
,Easton,EFP5GHRS10,GHOST OG Rainbow Sherbet,7/20/2025
,Easton,EFP5GHRS11,GHOST OG Rainbow Sherbet -11,7/17/2025
,Easton,EFP5GHRS8-33,GHOST OG Rainbow Sherbet -8,7/17/2025
,Easton,EFP5GHRS8-34,GHOST OG Rainbow Sherbet -8,7/17/2025
,Easton,EFP5GHRS9-33,GHOST OG Rainbow Sherbet -9,7/17/2025
,Easton,EFP5GHRS9-34,GHOST OG Rainbow Sherbet -9,7/17/2025
,Easton,EFP5GHUL10,Ghost Unlimited -10,11/18/2023
,Easton,EFP5GHUL11,Ghost Unlimited -11,11/18/2023
,Easton,EFP5GHUL8,Ghost Unlimited -8,11/18/2023
,Easton,EFP5GHUL9,Ghost Unlimited -9,11/18/2023
,Easton,EFP5GHUM10,GHOST UNLIMITED LE -10,11/15/2024
,Easton,EFP5GHUP10,GHOST UNLIMITED LE -10,11/15/2024
,Easton,EFP5GHUP11,GHOST UNLIMITED LE -11,11/15/2024
,Easton,EFP5PSA10,Pink Sapphire -10,7/29/2024
,Easton,EFP5SAP12,Sapphire -12,7/18/2024
,Easton,EFP5TPZ10,Topaz -10,7/18/2024
,Easton,EFP6FF12,Firefly -12,7/17/2025
,Easton,EFP6GHAD10,GHOST ADV -10,7/20/2025
,Easton,EFP6GHAD11,GHOST ADV -11,7/20/2025
,Easton,EFP6GHAD8,GHOST ADV -8,7/20/2025
,Easton,EFP6GHAD9,GHOST ADV -9,7/20/2025
,Easton,EFP6GHLE10,Ghost Unlimited -10 Launch Edition,7/17/2025
,Easton,EFP6GHSB10-30,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB10-31,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB10-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB10-33,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB10-34,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB11-29,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB11-30,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB11-31,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSB11-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP10-30,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP10-31,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP10-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP10-33,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP10-34,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP11-29,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP11-30,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP11-31,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP11-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP8-33,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP8-34,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP9-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP9-33,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSP9-34,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY10-30,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY10-31,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY10-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY10-33,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY10-34,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY11-29,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY11-30,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY11-31,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHSY11-32,GHOST Advanced - Spring Break '26,11/13/2025
,Easton,EFP6GHTW10,GHOST Advanced Twilight -10,7/17/2025
,Easton,EFP6GHTW11,GHOST Advanced Twilight -11,7/17/2025
,Easton,EFP6GHUL10,Ghost Unlimited -10,7/18/2025
,Easton,EFP6GHUL11,Ghost Unlimited -11,7/17/2025
,Easton,EFP6GHUL8,Ghost Unlimited -8,7/18/2025
,Easton,EFP6GHUL9,Ghost Unlimited -9,7/18/2025
,Easton,EFP6GHY11,GHOST Youth -11,7/17/2025
,Easton,EFP7GHOG10-30,GHOST OG -10,11/13/2025
,Easton,EFP7GHOG10-31,GHOST OG -10,11/13/2025
,Easton,EFP7GHOG10-32,GHOST OG -10,11/13/2025
,Easton,EFP7GHOG10-33,GHOST OG -10,11/13/2025
,Easton,EFP7GHOG10-34,GHOST OG -10,11/13/2025
,Easton,EFP7GHOG11-29,GHOST OG -11,11/13/2025
,Easton,EFP7GHOG11-30,GHOST OG -11,11/13/2025
,Easton,EFP7GHOG11-31,GHOST OG -11,11/13/2025
,Easton,EFP7GHOG11-32,GHOST OG -11,11/13/2025
,Easton,EFP7GHOG11-33,GHOST OG -11,11/13/2025
,Easton,EFP7GHOG8-33,GHOST OG -8,11/13/2025
,Easton,EFP7GHOG8-34,GHOST OG -8,11/13/2025
,Easton,EFP7GHOG9-32,GHOST OG -9,11/13/2025
,Easton,EFP7GHOG9-33,GHOST OG -9,11/13/2025
,Easton,EFP7GHOG9-34,GHOST OG -9,11/13/2025
,Easton,EFP7OGLE10-31,GHOST OG Launch Edition -10,11/13/2025
,Easton,EFP7OGLE10-32,GHOST OG Launch Edition -10,11/13/2025
,Easton,EFP7OGLE10-33,GHOST OG Launch Edition -10,11/13/2025
,Easton,EFP7OGLE10-34,GHOST OG Launch Edition -10,11/13/2025
,Easton,EFP7OGLE11-30,GHOST OG Launch Edition -11,11/13/2025
,Easton,EFP7OGLE11-31,GHOST OG Launch Edition -11,11/13/2025
,Easton,EFP7OGLE11-32,GHOST OG Launch Edition -11,11/13/2025
,Easton,ESA3ALL-24,Alpha,6/1/2023
,Easton,ESA3ALL-25,Alpha,6/1/2023
,Easton,ESA3ALL-26,Alpha,6/1/2023
,Easton,ESA3ALL-27,Alpha,6/1/2023
,Easton,ESA5ALL-25,ALPHA,5/24/2025
,Easton,ESA5ALL-26,ALPHA,5/24/2025
,Easton,ESA5ALL-27,ALPHA,5/24/2025
,Easton,ESA5AMTB-25,TANTRUM,7/10/2025
,Easton,ESA5AMTB-26,TANTRUM,7/10/2025
,Easton,ESA5AMTB-27,TANTRUM,7/10/2025
,Easton,ESA5ASISL-25,ALPHA,5/24/2025
,Easton,ESA5ASISL-26,ALPHA,5/24/2025
,Easton,ESA5ASISL-27,ALPHA,5/24/2025
,Easton,ESA5NEGL-25,NEGOTIATOR,5/24/2025
,Easton,ESA5NEGL-26,NEGOTIATOR,5/24/2025
,Easton,ESA5NEGL-27,NEGOTIATOR,5/24/2025
,Easton,ESA5TNTL-25,TANTRUM,5/24/2025
,Easton,ESA5TNTL-26,TANTRUM,5/24/2025
,Easton,ESA5TNTL-27,TANTRUM,5/24/2025
,Easton,ESA6HFL-25,HYPE FIRE,3/12/2026
,Easton,ESA6HFL-26,HYPE FIRE,3/12/2026
,Easton,ESA6HFL-27,HYPE FIRE,3/12/2026
,Easton,ESA6MRSHL-25,MARSH,3/12/2026
,Easton,ESA6MRSHL-26,MARSH,3/12/2026
,Easton,ESA6MRSHL-27,MARSH,3/12/2026
,Easton,ESA6SISTL-25,TANTRUM,11/13/2025
,Easton,ESA6SISTL-26,TANTRUM,11/13/2025
,Easton,ESA6SISTL-27,TANTRUM,11/13/2025
,Easton,ESA6TMNTL-25,TANTRUM MINT,11/13/2025
,Easton,ESA6TMNTL-26,TANTRUM MINT,11/13/2025
,Easton,ESA6TMNTL-27,TANTRUM MINT,11/13/2025
,Easton,ESA6TNT1B-25,TANTRUM,11/11/2025
,Easton,ESA6TNT1B-26,TANTRUM,11/11/2025
,Easton,ESA6TNT1B-27,TANTRUM,11/11/2025
,Easton,ESA6TNTBKL-25,TANTRUM,3/12/2026
,Easton,ESA6TNTBKL-26,TANTRUM,3/12/2026
,Easton,ESA6TNTBKL-27,TANTRUM,3/12/2026
,Easton,ESA6TNTL-25,TANTRUM,11/13/2025
,Easton,ESA6TNTL-26,TANTRUM,11/13/2025
,Easton,ESA6TNTL-27,TANTRUM,11/13/2025
,Easton,ESD4HML,Hammer,10/23/2023
,Easton,ESD4RBL,Rebel,10/23/2023
,Easton,ESD4RVL,Rival,10/23/2023
,Easton,ESD6SAL1L,SALVO,11/13/2025
,Easton,ESD6SPNKL1,STEALTH,11/13/2025
,Easton,ESD6SPPL1,STEALTH,11/13/2025
,Easton,FP1,Dark Angel,1/16/2014
,Easton,FP11SG,SYNGE -11.5,7/8/2011
,Easton,FP11ST10,Stealth Speed -10,7/8/2011
,Easton,FP11ST9,Stealth Speed -9,7/8/2011
,Easton,FP11SY10,Synergy Speed -10,7/8/2011
,Easton,FP11SY9,Synergy Speed -9,9/22/2011
,Easton,FP13AL,Alpha -13,6/19/2012
,Easton,FP13CY,Cyclone -9,6/19/2012
,Easton,FP13EA,Easton FP -10,6/19/2012
,Easton,FP13MQ,Mystique -12,6/19/2012
,Easton,FP13S1,FS1 -10,9/10/2012
,Easton,FP13S2,FS2 -10,9/10/2012
,Easton,FP13S3,FS3 -11.5,9/6/2012
,Easton,FP13SYY,Synergy -11,6/19/2012
,Easton,FP13TY,Typhoon -11,6/19/2012
,Easton,FP13X1,FX1 -9,9/10/2012
,Easton,FP13X2,FX2 -9,9/10/2012
,Easton,FP14MK,MAKO -10,6/19/2013
,Easton,FP14MKY,MAKO Youth -11,7/2/2013
,Easton,FP14S1,FS1 -10,7/23/2013
,Easton,FP14S2,FS2 -10,7/2/2013
,Easton,FP14S200,FS200 -10,6/19/2013
,Easton,FP14S3,FS3 -12,7/23/2013
,Easton,FP14S300,FS300 -11,6/19/2013
,Easton,FP14S400,FS400 -12,7/2/2013
,Easton,FP14S50,FS50 -10,7/2/2013
,Easton,FP14S500,FS500 -13,7/2/2013
,Easton,FP14S60A,FS50 -10,5/8/2014
,Easton,FP14X1,FX1 -9,7/23/2013
,Easton,FP14X18,FX1 -8,7/23/2013
,Easton,FP14X2,FX2 -9,7/2/2013
,Easton,FP15MK10,MAKO -10,5/8/2014
,Easton,FP15MK8,MAKO -8,5/8/2014
,Easton,FP15MK9,MAKO -9,5/8/2014
,Easton,FP15MKT,MAKO TORQ,5/8/2014
,Easton,FP15MKY,MAKO YOUTH -11,5/8/2014
,Easton,FP15S110,FS1 -10,5/8/2014
,Easton,FP15S111,FS1 -11,5/8/2014
,Easton,FP15S3,FS3,5/8/2014
,Easton,FP16CY,Cyclone,11/5/2021
,Easton,FP16MK10,Mako -10,10/16/2015
,Easton,FP16MK11,Mako -11,6/10/2015
,Easton,FP16MK9,Mako -9,10/16/2015
,Easton,FP16MKT10,Mako Torq -10,6/10/2015
,Easton,FP16MKT8,Mako Torq -8,3/26/2015
,Easton,FP16MKT9,Mako Torq -9,3/26/2015
,Easton,FP16MKY11,Mako Youth -11,1/21/2016
,Easton,FP16S200,FS200,6/10/2015
,Easton,FP16S300,FS300,6/10/2015
,Easton,FP16S312,FS3 -12,6/10/2015
,Easton,FP16S3T12,FS3 Torq -12,3/26/2015
,Easton,FP16S400,FS400,6/10/2015
,Easton,FP16S50,FS50,1/21/2016
,Easton,FP16S500,FS500,6/10/2015
,Easton,FP16SSR3B,Stealth Retro,2/26/2016
,Easton,FP17HL12,Hyperlite,2/26/2016
,Easton,FP17HLT12,Hyperlite Torq,2/26/2016
,Easton,FP17SF10,Stealth Flex -10,2/26/2016
,Easton,FP17SF11,Stealth Flex -11,2/26/2016
,Easton,FP17SF8,Stealth Flex -8,2/26/2016
,Easton,FP17SF9,Stealth Flex -9,2/26/2016
,Easton,FP17SFT10,Stealth Flex Torq -10,2/26/2016
,Easton,FP17SFT9,Stealth Flex Torq -9,2/26/2016
,Easton,FP17SY11,Stealth Youth,1/17/2017
,Easton,FP18AMY,Amythest -11,6/20/2017
,Easton,FP18CRY,Crystal -13,6/20/2017
,Easton,FP18GH10,Ghost,2/21/2017
,Easton,FP18GH11,Ghost,4/19/2018
,Easton,FP18GH8,Ghost,2/21/2017
,Easton,FP18GH9,Ghost,2/21/2017
,Easton,FP18GHY11,Ghost Youth -11,6/20/2017
,Easton,FP18PSA,Pink Sapphire -10,6/20/2017
,Easton,FP18SAP,Sapphire -12,6/20/2017
,Easton,FP18SF10,Stealth Flex -10,6/20/2017
,Easton,FP18SF11,Stealth Flex -11,6/20/2017
,Easton,FP18SHL12,Stealth HL -12,6/20/2017
,Easton,FP18TPZ,Topaz -10,6/20/2017
,Easton,FP19PR10,Prowess -10,6/20/2018
,Easton,FP19W12,Wonder -12,6/20/2018
,Easton,FP19WL13,WonderLite -13,6/20/2018
,Easton,FP20AMY,Amethyst -11,7/19/2019
,Easton,FP20CRY,Crystal -13,7/19/2019
,Easton,FP20CRYMINT,Crystal -13,10/3/2019
,Easton,FP20FRZ12,FRZ -12,7/19/2019
,Easton,FP20FRZ13,Freeze -13,7/19/2019
,Easton,FP20GH10,Ghost -10,3/18/2019
,Easton,FP20GH11 (31-28),Ghost -11,7/19/2019
,Easton,FP20GH11 (33-32),Ghost -11,7/19/2019
,Easton,FP20GH8,Ghost -8,3/18/2019
,Easton,FP20GH9,Ghost -9,3/18/2019
,Easton,FP20GHAD10 (30-31),Ghost Advanced -10,10/3/2019
,Easton,FP20GHAD10 (32-34),Ghost Advanced -10,10/3/2019
,Easton,FP20GHAD11,Ghost Advanced -11,7/19/2019
,Easton,FP20GHAD8,Ghost Advanced -8,10/3/2019
,Easton,FP20GHAD9,Ghost Advanced -9,10/3/2019
,Easton,FP20GHCAN10,Ghost Duel -10,2/4/2020
,Easton,FP20GHSNS10,Ghost Duel -10,12/13/2019
,Easton,FP20GHY11,Ghost Youth -11,7/19/2019
,Easton,FP20PSA,Pink Sapphire -10,7/19/2019
,Easton,FP20SAP,Sapphire -12,7/19/2019
,Easton,FP20TPZ,Topaz -10,7/19/2019
,Easton,FP21GHADG4TG10,Ghost Advanced Gold,6/23/2021
,Easton,FP21GHADG4TG11,Ghost Advanced Gold,6/23/2021
,Easton,FP21GHADGLD10,Ghost Adv Gold,1/6/2021
,Easton,FP22AMY,Amethyst,7/12/2021
,Easton,FP22CRY,Crystal,7/12/2021
,Easton,FP22FF12,Firefly -12,7/12/2021
,Easton,FP22GH10,Ghost -10,7/12/2021
,Easton,FP22GH10,Ghost -10,1/6/2021
,Easton,FP22GH11,Ghost,7/12/2021
,Easton,FP22GH8,Ghost -8,1/6/2021
,Easton,FP22GH9,Ghost -9,1/6/2021
,Easton,FP22GHAD10 (30-31),Ghost Advanced,3/4/2022
,Easton,FP22GHAD10 (32-34),Ghost Advanced,3/4/2022
,Easton,FP22GHAD11,Ghost Advanced,7/12/2021
,Easton,FP22GHAD8,Ghost Advanced,3/4/2022
,Easton,FP22GHAD9,Ghost Advanced,3/4/2022
,Easton,FP22GHAF10,Ghost Advanced Fire,8/11/2022
,Easton,FP22GHAM10,Ghost Advanced Midnight,8/11/2022
,Easton,FP22GHT10,Ghost Tie Dye -10,1/28/2022
,Easton,FP22GHT11,Ghost Tie Dye,3/4/2022
,Easton,FP22GHY11,Ghost Youth,7/12/2021
,Easton,FP22PSA,Pink Sapphire,7/12/2021
,Easton,FP22SAP,Sapphire,7/12/2021
,Easton,FP22TPZ,Topaz,7/12/2021
,Easton,FP23GH10,Ghost -10,5/23/2023
,Easton,FP23GH11,Ghost -11,5/23/2023
,Easton,FP23GH8,Ghost,4/15/2022
,Easton,FP23GH9,Ghost -9,6/13/2023
,Easton,FP23GHUB10,Ghost Unlimited Pitch Black -10,6/24/2023
,Easton,FP23GHUG10,Ghost Limited Graffiti -10,2/20/2023
,Easton,FP23GHUL10,Ghost Ulimited -10,1/28/2022
,Easton,FP23GHUL11,Ghost Unlimited -11,7/15/2023
,Easton,FP23GHUL8,Ghost Unlimited -8,1/28/2022
,Easton,FP23GHUL9,Ghost Unlimiited -9,1/28/2022
,Easton,FP23GHUR10,Ghost Unlimited Infermo -10,6/24/2023
,Easton,FP40,Rival,6/10/2015
,Easton,FP50,Speed Brigade,1/19/2016
,Easton,FP53,Easton Wave,6/10/2015
,Easton,FP54,Love & Peace,6/10/2015
,Easton,Maple SB 34,,9/10/2012
,Easton,Maple Softball,Maple,1/16/2017
,Easton,S11,,8/13/2008
,Easton,S3,Smoker,8/13/2008
,Easton,S5,Hammer,8/13/2008
,Easton,S6,,8/13/2008
,Easton,S60,,8/13/2008
,Easton,S80,,8/13/2008
,Easton,S9,Black Max,8/13/2008
,Easton,SCG1,CV12,12/22/2010
,Easton,SCG1B,CV12 -10,12/22/2010
,Easton,SCL1,Synergy Clear,10/10/2008
,Easton,SCL1B,Synergy Crystal -11.5,10/10/2008
,Easton,SCL2,Synergy Extra Stiff,10/10/2008
,Easton,SCR1,CV12,8/31/2009
,Easton,SCR1B,CV12,8/31/2009
,Easton,SE710,,8/13/2008
,Easton,SE910,,8/13/2008
,Easton,SE911,,8/13/2008
,Easton,SG1,Rival,12/22/2010
,Easton,SG1B,ATMOS -12.5,7/1/2011
,Easton,SG1BXL,Rival XXL -12.5,12/22/2010
,Easton,SG3,,8/13/2008
,Easton,SJ2,,8/13/2008
,Easton,SJ7,,8/13/2008
,Easton,SK1,Spectre,8/13/2008
,Easton,SK10,,8/13/2008
,Easton,SK11,Black Max,8/13/2008
,Easton,SK12,,8/13/2008
,Easton,SK12,X-Treme,8/13/2008
,Easton,SK15,X-Treme,8/13/2008
,Easton,SK16,Hammer 7046,8/13/2008
,Easton,SK19,X-Treme,8/13/2008
,Easton,SK2,Hammer,8/13/2008
,Easton,SK20,7046 -10,8/13/2008
,Easton,SK26,,8/13/2008
,Easton,SK26,Easton -10,3/23/2010
,Easton,SK27,,8/13/2008
,Easton,SK29,Fastpitch 7046,8/13/2008
,Easton,SK3,Smoke,8/13/2008
,Easton,SK30,Synergy -11,8/13/2008
,Easton,SK31,,8/13/2008
,Easton,SK31B,,8/13/2008
,Easton,SK32,Cyclone 7046,8/21/2008
,Easton,SK32B,Cyclone 7046,8/13/2008
,Easton,SK32W,Edge,8/21/2008
,Easton,SK33,Cyclone,8/13/2008
,Easton,SK33B,Cyclone,8/13/2008
,Easton,SK33BP,Cyclone -9,8/13/2008
,Easton,SK34,Cyclone,8/13/2008
,Easton,SK35,Synergy -11,8/21/2008
,Easton,SK35B,Fastpitch,8/13/2008
,Easton,SK36,Synergy -11,3/24/2010
,Easton,SK37,Cyclone,8/13/2008
,Easton,Sk37B,Cylone -9,8/13/2008
,Easton,SK38,Cyclone,3/23/2010
,Easton,SK38B,Cyclone,3/24/2010
,Easton,SK38OL,Black Magic,12/22/2010
,Easton,SK39B,Cyclone -9,3/23/2010
,Easton,SK4,Hammer,8/13/2008
,Easton,SK40B,Typhoon,8/13/2008
,Easton,SK41B,Synergy -11,3/23/2010
,Easton,SK42,Synergy -11,5/26/2011
,Easton,SK5,Hammer,3/23/2010
,Easton,SK5,Hammer,8/13/2008
,Easton,SK50B,Typhoon,8/21/2008
,Easton,SK50BP,Typhoon -10,8/21/2008
,Easton,SK50T,Typhoon,3/22/2012
,Easton,SK6,Hammer,8/13/2008
,Easton,SK60,,8/13/2008
,Easton,SK60B,Typhoon -10,8/13/2008
,Easton,SK61B,Typhoon -10,3/23/2010
,Easton,SK62B,Typhoon -10,5/26/2011
,Easton,SK7,,8/13/2008
,Easton,SK75,,8/13/2008
,Easton,SK8,,8/13/2008
,Easton,SK85,,8/13/2008
,Easton,SK9,Black Max,8/13/2008
,Easton,SK90,Black Magic,8/13/2008
,Easton,SKQODII,Queen of Diamonds -11,7/1/2011
,Easton,SP1,Typhoon,3/22/2012
,Easton,SP10,Rebel,6/26/2014
,Easton,SP11,Black,6/10/2015
,Easton,SP12SL,Combat B1 13.5 Loaded,7/1/2022
,Easton,SP12ST98,Stealth 98,9/22/2011
